turn,user,expected_intent,expected_scope,expected_location,requires_context,tools_called,tool_correct,tool_precision,entity_resolved,response_snippet,success,error,conversation_id,pattern,difficulty
0,Thời tiết Cầu Giấy hiện tại thế nào?,current_weather,district,Cầu Giấy,False,get_current_weather,True,1.0,True,"Thời tiết tại Quận Cầu Giấy hiện tại như sau:

- **Nhiệt độ**: 23.9°C (giá trị trung bình)
- **Độ ẩm**: 90.5% (cao, cảm giác ẩm ướt)
- **Gió**: Tốc độ 1.5 m/s theo hướng Đông, gió giật lên đến 2.7 m/s",True,,conv_001,location_carry_over,easy
1,Còn ngày mai thì sao?,daily_forecast,district,Cầu Giấy,True,get_daily_forecast,True,1.0,False,Hiện không có dữ liệu dự báo cho ngày mai tại Quận Hoàn Kiếm. Vui lòng thử hỏi lại vào thời điểm khác hoặc kiểm tra khu vực khác để có thông tin chính xác nhất.,True,,conv_001,location_carry_over,easy
2,Thế tối mai có mưa không?,rain_query,district,Cầu Giấy,True,get_rain_timeline,True,1.0,False,Hiện không có dữ liệu dự báo mưa cho Hà Nội. Bạn có thể hỏi về thời tiết hiện tại hoặc dự báo ngắn hạn để được thông tin chính xác hơn nhé!,True,,conv_001,location_carry_over,easy
0,Quận Đống Đa hôm nay có mưa không?,rain_query,district,Đống Đa,False,get_rain_timeline,True,1.0,True,"Theo dự báo 24 giờ tới, quận Đống Đa hôm nay (ngày 04/04/2026) có mưa nhỏ vào lúc 10:00 ICT. Mưa sẽ tạnh vào lúc 11:00 ICT cùng ngày. Lượng mưa tối đa trong 1 giờ là 0 mm, nên không đáng lo ngại.

Khu",True,,conv_002,location_carry_over,easy
1,Mưa đến mấy giờ thì tạnh?,rain_query,district,Đống Đa,True,get_rain_timeline,True,1.0,False,Hiện không có dữ liệu dự báo mưa cho Hà Nội. Bạn có thể thử hỏi về thời tiết hiện tại hoặc dự báo ngắn hạn để được thông tin chính xác hơn nhé!,True,,conv_002,location_carry_over,easy
2,Gió ở đó mạnh không?,wind_query,district,Đống Đa,True,get_current_weather,True,1.0,False,"Gió tại Quận Hoàn Kiếm hiện nay có tốc độ trung bình là **2.8 m/s** theo hướng **Đông Bắc**, với gió giật cao nhất lên đến **5.0 m/s**. Gió không quá mạnh, bạn có thể yên tâm di chuyển ngoài trời.",True,,conv_002,location_carry_over,easy
0,Quận Hoàn Kiếm nhiệt độ bao nhiêu độ?,temperature_query,district,Hoàn Kiếm,False,get_current_weather,True,1.0,True,"Thời tiết tại Quận Hoàn Kiếm lúc này:

- **Nhiệt độ**: 26.0°C  
- **Độ ẩm**: 81%  
- **Gió**: 2.8 m/s theo hướng Đông Bắc, có gió giật lên đến 5.0 m/s  
- **Trạng thái thời tiết**: Nhiều mây  
- **Điể",True,,conv_003,location_carry_over,medium
1,Ra ngoài có dễ chịu không?,activity_weather,district,Hoàn Kiếm,True,get_activity_advice,True,1.0,False,"Theo khuyến cáo, hiện tại ra ngoài là **nên** vì thời tiết thuận lợi cho hoạt động ngoài trời. Dưới đây là thông tin chi tiết:

- **Nhiệt độ**: 26.0°C  
- **Độ ẩm**: 81%  
- **Mây**: Trời trong  
- **",True,,conv_003,location_carry_over,medium
2,Vậy mặc gì đi bộ?,smalltalk_weather,district,Hoàn Kiếm,True,get_clothing_advice,True,1.0,False,"Xin lỗi, mình hiểu nhầm. Để tư vấn trang phục cho hoạt động đi bộ, mình sẽ dùng công cụ phù hợp. Mời bạn đợi một chút!",True,,conv_003,location_carry_over,medium
0,Thanh Xuân hôm nay thời tiết thế nào?,weather_overview,district,Thanh Xuân,False,get_daily_summary,True,1.0,True,"Theo tổng hợp thời tiết quận Thanh Xuân hôm nay (04/04/2026):

- **Nhiệt độ**: 26.5°C (từ 24.9°C đến 29.5°C)
- **Độ ẩm**: 68.5%
- **Gió**: Tốc độ trung bình 5.7 m/s, hướng Đông Nam, gió giật lên đến 1",True,,conv_004,location_carry_over,medium
