turn,user,expected_intent,expected_scope,expected_location,requires_context,tools_called,tool_correct,tool_precision,entity_resolved,response_snippet,success,error,conversation_id,pattern,difficulty
0,Thời tiết Cầu Giấy hiện tại thế nào?,current_weather,district,Cầu Giấy,False,get_current_weather,True,1.0,True,"Thời tiết tại Quận Cầu Giấy hiện tại như sau:

- **Nhiệt độ**: 23.9°C (giá trị trung bình)
- **Độ ẩm**: 90.5% (cao, cảm giác ẩm ướt)
- **Gió**: Tốc độ 1.5 m/s theo hướng Đông, gió giật lên đến 2.7 m/s",True,,conv_001,location_carry_over,easy
1,Còn ngày mai thì sao?,daily_forecast,district,Cầu Giấy,True,"get_current_weather,get_daily_forecast",True,0.5,True,"Thời tiết tại Quận Cầu Giấy ngày mai (ngày 04/04/2026) dự báo như sau:

- **Nhiệt độ**: 26.5°C (giá trị trung bình), dao động từ 24.9°C đến 29.5°C
- **Độ ẩm**: 68% (thấp, dễ chịu)
- **Gió**: Tốc độ 5.",True,,conv_001,location_carry_over,easy
2,Thế tối mai có mưa không?,rain_query,district,Cầu Giấy,True,"get_current_weather,get_daily_forecast,get_hourly_forecast",True,0.67,True,"Tôi xin lỗi, hiện tại không thể cung cấp thông tin về dự báo giờ cho Quận Cầu Giấy. Tuy nhiên, theo dữ liệu hiện có, thời tiết ngày mai (ngày 04/04/2026) ở Quận Cầu Giấy có mưa nhẹ với tổng lượng mưa ",True,,conv_001,location_carry_over,easy
0,Quận Đống Đa hôm nay có mưa không?,rain_query,district,Đống Đa,False,get_rain_timeline,True,1.0,True,"Theo dự báo 24 giờ tới, quận Đống Đa hôm nay không có mưa. Trời trong suốt, nắng nhẹ. Bạn có thể ra ngoài thoải mái, nhưng nhớ che chắn tránh nắng nhé!",True,,conv_002,location_carry_over,easy
1,Mưa đến mấy giờ thì tạnh?,rain_query,district,Đống Đa,True,"get_rain_timeline,get_rain_timeline",True,1.0,True,"Theo dự báo 24 giờ tới, quận Đống Đa không có mưa. Trời trong suốt, nắng nhẹ. Bạn có thể ra ngoài thoải mái, nhưng nhớ che chắn tránh nắng nhé!",True,,conv_002,location_carry_over,easy
2,Gió ở đó mạnh không?,wind_query,district,Đống Đa,True,"get_rain_timeline,get_rain_timeline,get_current_weather",True,0.33,True,"Gió tại quận Đống Đa hiện tại có tốc độ trung bình là **1.6 m/s** theo hướng **Đông**, với gió giật cao nhất là **3.0 m/s**. Gió nhẹ, không gây ảnh hưởng lớn. Bạn có thể ra ngoài mà không cần lo lắng ",True,,conv_002,location_carry_over,easy
0,Quận Hoàn Kiếm nhiệt độ bao nhiêu độ?,temperature_query,district,Hoàn Kiếm,False,get_current_weather,True,1.0,True,"Thời tiết tại Quận Hoàn Kiếm lúc này:

- **Nhiệt độ**: 26.0°C  
- **Độ ẩm**: 81%  
- **Gió**: 2.8 m/s theo hướng Đông Bắc, có gió giật lên đến 5.0 m/s  
- **Trạng thái thời tiết**: Nhiều mây  
- **Điể",True,,conv_003,location_carry_over,medium
1,Ra ngoài có dễ chịu không?,activity_weather,district,Hoàn Kiếm,True,"get_current_weather,get_activity_advice",True,1.0,True,"Thời tiết tại Quận Hoàn Kiếm hiện tại rất thuận lợi để ra ngoài. Bạn có thể đi dạo, chạy bộ hoặc thực hiện các hoạt động ngoài trời khác mà không cần lo lắng về thời tiết xấu. 

Tuy nhiên, vì độ ẩm ca",True,,conv_003,location_carry_over,medium
2,Vậy mặc gì đi bộ?,smalltalk_weather,district,Hoàn Kiếm,True,"get_current_weather,get_activity_advice,get_clothing_advice",True,1.0,True,"Xin lỗi, hiện tại mình không thể cung cấp lời khuyên về trang phục. Tuy nhiên, dựa trên thời tiết hiện tại ở Quận Hoàn Kiếm (nhiệt độ 26°C, độ ẩm 81%, gió nhẹ), bạn có thể mặc áo phông, quần short hoặ",True,,conv_003,location_carry_over,medium
0,Thanh Xuân hôm nay thời tiết thế nào?,weather_overview,district,Thanh Xuân,False,get_daily_summary,True,1.0,True,"Theo tổng hợp thời tiết quận Thanh Xuân hôm nay (04/04/2026):

- **Nhiệt độ**: 26.5°C (từ 24.9°C đến 29.5°C)
- **Độ ẩm**: 68.5%
- **Gió**: Tốc độ trung bình 5.7 m/s, hướng Đông Nam, gió giật lên đến 1",True,,conv_004,location_carry_over,medium
