model,query,has_history,turn,gt_intent,gt_scope,gt_conf,pred_raw,pred_intent,pred_scope,pred_conf,route_ok,latency_ms
Qwen3-4B-v7,So với hôm qua thì hôm nay nóng hơn hay mát hơn?,False,1,seasonal_context,city,0.92,"{""intent"": ""seasonal_context"", ""scope"": ""city"", ""confidence"": 0.85}",seasonal_context,city,0.85,True,2589.4
Qwen3-4B-v7,Quận nào ở Hà Nội đang mưa?,False,1,location_comparison,city,0.92,"{""intent"": ""location_comparison"", ""scope"": ""city"", ""confidence"": 0.92}",location_comparison,city,0.92,True,1469.8
Qwen3-4B-v7,Hát Môn dạo này thời tiết có điểm gì đáng chú ý không?,False,1,seasonal_context,ward,0.85,"{""intent"": ""weather_overview"", ""scope"": ""district"", ""confidence"": 0.85}",weather_overview,district,0.85,False,1540.1
Qwen3-4B-v7,Khu đó hôm nay nhìn chung thế nào?,True,2,weather_overview,ward,0.8,"{""intent"": ""weather_overview"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Nhìn chung thời tiết Phường Hà Đông hôm nay thế nào?""}",weather_overview,ward,0.8,True,3057.6
Qwen3-4B-v7,Nhiệt độ ngày mai ở Cầu Giấy là bao nhiêu?,False,1,temperature_query,district,0.74,"{""intent"": ""temperature_query"", ""scope"": ""district"", ""confidence"": 0.74}",temperature_query,district,0.74,True,1477.6
Qwen3-4B-v7,khu đó có cảnh báo gì không?,True,2,weather_alert,district,0.8,"{""intent"": ""weather_alert"", ""scope"": ""district"", ""confidence"": 0.8, ""rewritten_query"": ""Huyện Sóc Sơn hôm nay có cảnh báo thời tiết gì không?""}",weather_alert,district,0.8,True,2984.2
Qwen3-4B-v7,thu tu o ha noi du bao nhiet do la bao nhieu?,False,1,temperature_query,city,0.85,"{""intent"": ""temperature_query"", ""scope"": ""city"", ""confidence"": 0.85}",temperature_query,city,0.85,True,1483.8
Qwen3-4B-v7,Phường Lĩnh Nam chiều nay có nguy hiểm gì không?,False,1,weather_alert,ward,0.92,"{""intent"": ""weather_alert"", ""scope"": ""ward"", ""confidence"": 0.92}",weather_alert,ward,0.92,True,1481.3
Qwen3-4B-v7,"Cuối tuần này phơi đồ ngoài trời ở phường Xuân Đỉnh, Bắc Từ Liêm có ổn không?",False,1,activity_weather,ward,0.92,"{""intent"": ""activity_weather"", ""scope"": ""ward"", ""confidence"": 0.92}",activity_weather,ward,0.92,True,1488.7
Qwen3-4B-v7,Ngày mai quận Mỹ Đức trời sẽ ra sao nhỉ?,False,1,daily_forecast,district,0.92,"{""intent"": ""daily_forecast"", ""scope"": ""district"", ""confidence"": 0.92}",daily_forecast,district,0.92,True,1545.6
Qwen3-4B-v7,Nhiệt độ bây giờ ở đó ra sao?,True,2,temperature_query,city,0.8,"{""intent"": ""temperature_query"", ""scope"": ""city"", ""confidence"": 0.8, ""rewritten_query"": ""Nhiệt độ hiện tại ở Hà Nội bao nhiêu?""}",temperature_query,city,0.8,True,2792.2
Qwen3-4B-v7,ngày nào nóng nhất?,True,2,temperature_query,ward,0.8,"{""intent"": ""temperature_query"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Phường Đại Mỗ tuần này ngày nào nóng nhất?""}",temperature_query,ward,0.8,True,2719.5
Qwen3-4B-v7,co thong tin gi ve nhiet do cam giac o xa hung dao khong ban?,False,1,expert_weather_param,ward,0.85,"{""intent"": ""expert_weather_param"", ""scope"": ""ward"", ""confidence"": 0.85}",expert_weather_param,ward,0.85,True,1554.7
Qwen3-4B-v7,Cần chuẩn bị gì?,True,2,weather_alert,city,0.8,"{""intent"": ""weather_alert"", ""scope"": ""city"", ""confidence"": 0.8, ""rewritten_query"": ""Trước nguy cơ thời tiết xấu, cần chuẩn bị gì cho người ở Hà Nội?""}",weather_alert,city,0.8,True,3191.7
Qwen3-4B-v7,Hôm nay ở đó thế nào?,True,2,current_weather,district,0.8,"{""intent"": ""current_weather"", ""scope"": ""district"", ""confidence"": 0.8, ""rewritten_query"": ""Thời tiết Huyện Sóc Sơn hôm nay thế nào?""}",current_weather,district,0.8,True,2856.9
Qwen3-4B-v7,tu gio den sang mai o gia lam co mua phun khong?,False,1,rain_query,district,0.74,"{""intent"": ""rain_query"", ""scope"": ""district"", ""confidence"": 0.74}",rain_query,district,0.74,True,1491.8
Qwen3-4B-v7,hom qua o ha noi nhiet do cao nhat la bao nhieu do?,False,1,historical_weather,city,0.85,"{""intent"": ""historical_weather"", ""scope"": ""city"", ""confidence"": 0.85}",historical_weather,city,0.85,True,1556.0
Qwen3-4B-v7,Vậy bên Hải Phòng có mưa không?,True,2,smalltalk_weather,city,0.62,"{""intent"": ""smalltalk_weather"", ""scope"": ""city"", ""confidence"": 0.62}",smalltalk_weather,city,0.62,True,1593.0
Qwen3-4B-v7,Ở đó ngày mai cụ thể?,True,2,weather_overview,district,0.8,"{""intent"": ""daily_forecast"", ""scope"": ""district"", ""confidence"": 0.8, ""rewritten_query"": ""Ngày mai ở Huyện Sóc Sơn thời tiết cụ thể thế nào?""}",daily_forecast,district,0.8,False,3065.7
Qwen3-4B-v7,Trời hôm nay ở Hà Nội có gió lùa mạnh không ta?,False,1,wind_query,city,0.92,"{""intent"": ""wind_query"", ""scope"": ""city"", ""confidence"": 0.92}",wind_query,city,0.92,True,1489.9
