idx,query,expected_intent,predicted_intent,expected_scope,predicted_scope,confidence,error_category,category_description,scope_also_wrong
2,Chiều mai ở Times City dự báo có mưa không nhỉ?,daily_forecast,rain_query,district,district,0.94,temporal_overlap,Ambiguity between forecast horizons (daily vs hourly vs rain),False
28,luc nay thoi tiet o ha noi co on khong moi nguoi?,current_weather,smalltalk_weather,city,city,0.95,formality_mismatch,Casual/smalltalk query misclassified as specific intent,False
34,vai gio toi o hai ba trung troi co chuyen khong?,weather_alert,hourly_forecast,district,district,0.88,alert_vs_info,Weather alert vs informational query confusion,False
38,Chỗ đó tối nay có mưa không?,hourly_forecast,rain_query,district,district,0.91,temporal_overlap,Ambiguity between forecast horizons (daily vs hourly vs rain),False
62,Lúc này mưa không?,current_weather,rain_query,district,district,0.92,specificity_mismatch,"General weather vs specific parameter (temp, wind, humidity)",False
73,Dự báo ngày mai?,weather_overview,daily_forecast,city,city,0.93,scope_ambiguity,Overlap between overview and specific forecast types,False
85,Bầu trời ở khu vực Hồ Gươm bây giờ trông như thế nào?,current_weather,humidity_fog_query,district,district,0.9,specificity_mismatch,"General weather vs specific parameter (temp, wind, humidity)",False
86,mua nay thoi tiet ra sao?,seasonal_context,weather_overview,city,city,0.92,temporal_scope,Seasonal/historical vs daily forecast confusion,False
98,Gió ở quận Long Biên hiện tại mạnh không?,current_weather,wind_query,district,district,0.91,specificity_mismatch,"General weather vs specific parameter (temp, wind, humidity)",False
109,mo ta ngan gon thoi tiet tuan nay o ha noi de minh len ke hoach.,weather_overview,daily_forecast,city,city,0.91,scope_ambiguity,Overlap between overview and specific forecast types,False
120,Đợt lạnh sắp tới ở Hà Nội nhiệt độ có thể xuống bao thấp?,weather_alert,temperature_query,city,city,0.85,alert_vs_info,Weather alert vs informational query confusion,False
146,"Mai chiều ở phường Định Công, trời có mưa không?",daily_forecast,rain_query,ward,ward,0.94,temporal_overlap,Ambiguity between forecast horizons (daily vs hourly vs rain),False
148,Hà Nội hôm nay đẹp trời không?,weather_overview,smalltalk_weather,city,city,0.96,formality_mismatch,Casual/smalltalk query misclassified as specific intent,False
203,Thời tiết buổi sáng nay ở quận Cầu Giấy có gì đặc biệt không?,hourly_forecast,weather_overview,district,district,0.9,temporal_granularity,Confusion between hourly and daily time scales,False
209,Ở đó có mát không?,smalltalk_weather,temperature_query,district,district,0.87,formality_mismatch,Casual/smalltalk query misclassified as specific intent,False
256,cuoi tuan nay thoi tiet o noi thanh khac ngoai thanh ha noi nhu the nao?,location_comparison,seasonal_context,city,city,0.88,temporal_scope,Seasonal/historical vs daily forecast confusion,False
277,Sáng ngày mai quận Đống Đa thế nào?,hourly_forecast,daily_forecast,district,district,0.88,temporal_granularity,Confusion between hourly and daily time scales,False
296,"sang nay thoi tiet o lang, dong da co on khong nhi?",weather_overview,temperature_query,ward,ward,0.81,specificity_mismatch,"General weather vs specific parameter (temp, wind, humidity)",False
303,Chiều nay thời tiết thế nào?,current_weather,weather_overview,district,district,0.87,scope_ambiguity,Overlap between overview and specific forecast types,False
322,troi hom nay co buon khong nhi?,smalltalk_weather,humidity_fog_query,city,city,0.89,formality_mismatch,Casual/smalltalk query misclassified as specific intent,False
324,Chỗ đó có nên mặc áo mỏng không?,seasonal_context,activity_weather,ward,district,0.88,temporal_scope,Seasonal/historical vs daily forecast confusion,True
337,"Trong 3 giờ tới, phường Xuân Đỉnh có khả năng xuất hiện giông bão không?",hourly_forecast,weather_alert,ward,ward,0.85,alert_vs_info,Weather alert vs informational query confusion,False
367,Giờ này trời ở Nam Từ Liêm có đẹp không nhỉ?,current_weather,smalltalk_weather,district,district,0.96,formality_mismatch,Casual/smalltalk query misclassified as specific intent,False
375,Trời bây giờ có lạnh ở Hà Nội không?,current_weather,temperature_query,city,city,0.86,specificity_mismatch,"General weather vs specific parameter (temp, wind, humidity)",False
