id,question,intent,intent_vi,location_scope,location_name,time_expression,weather_param,difficulty,expected_tools,expected_abstain,expected_clarification,expected_grounding_keys,disambiguation_rule_ref,gold_response_constraint,source,notes
v2_0400,"Bây giờ ở quận Ba Đình thời tiết thế nào?",current_weather,"Thời tiết hiện tại",district,"Quận Ba Đình","bây giờ","general",easy,"[""get_current_weather"", ""detect_phenomena"", ""get_clothing_advice"", ""get_rain_timeline"", ""get_hourly_forecast""]",False,False,"[""temp"", ""weather"", ""humidity""]","#1 current overview","Direct current overview district",v2_new,"direct current district"
v2_0401,"Hiện tại ở huyện Thanh Trì trời ra sao?",current_weather,"Thời tiết hiện tại",district,"Huyện Thanh Trì","hiện tại","general",easy,"[""get_current_weather"", ""detect_phenomena"", ""get_clothing_advice"", ""get_rain_timeline"", ""get_hourly_forecast""]",False,False,"[""temp"", ""weather""]","#1 current overview","Direct current district huyện",v2_new,"direct current huyện"
v2_0402,"Phường Hoàn Kiếm bây giờ thời tiết thế nào?",current_weather,"Thời tiết hiện tại",ward,"Phường Hoàn Kiếm (Hoàn Kiếm)","bây giờ","general",easy,"[""get_current_weather"", ""detect_phenomena"", ""get_clothing_advice"", ""get_rain_timeline"", ""get_hourly_forecast""]",False,False,"[""temp"", ""weather""]","#1 current overview","Direct current ward",v2_new,"direct current ward easy"
v2_0403,"Hiện tại trời ở xã Phú Cát ra sao?",current_weather,"Thời tiết hiện tại",ward,"Xã Phú Cát (Quốc Oai)","hiện tại","general",easy,"[""get_current_weather"", ""detect_phenomena"", ""get_clothing_advice"", ""get_rain_timeline"", ""get_hourly_forecast""]",False,False,"[""temp"", ""weather""]","#1 current overview","Direct current xã suburban",v2_new,"direct current suburban xã"
v2_0404,"Sáng mai từ 7h đến 11h ở Hà Nội nhiệt độ và mưa thế nào?",hourly_forecast,"Dự báo theo giờ",city,"Hà Nội","07:00-11:00 sáng mai","general",medium,"[""get_hourly_forecast"", ""get_rain_timeline"", ""get_sunny_periods"", ""get_daily_rhythm""]",False,False,"[""temp"", ""pop"", ""rain.1h""]","#4 hourly + multi-aspect","Morning 4h slot + 2-aspect city",v2_new,"morning 4h dual aspect"
v2_0405,"Tối nay từ 8h đến 10h ở Hà Nội thời tiết thế nào, có gì khác với ban chiều không?",hourly_forecast,"Dự báo theo giờ",city,"Hà Nội","20:00-22:00 tối nay vs ban chiều","general",medium,"[""get_hourly_forecast"", ""get_rain_timeline"", ""get_sunny_periods"", ""get_daily_rhythm""]",False,False,"[""temp"", ""weather""]","#4 hourly + within-day compare","Evening 2h slot + compare with afternoon",v2_new,"evening slot + within-day compare"
v2_0406,"Chiều nay ở quận Hoàn Kiếm có mưa không?",hourly_forecast,"Dự báo theo giờ",district,"Quận Hoàn Kiếm","chiều nay","rain",easy,"[""get_hourly_forecast"", ""get_rain_timeline"", ""get_sunny_periods"", ""get_daily_rhythm""]",False,False,"[""pop"", ""weather""]","#4 hourly (chiều nay slot today)","Direct rain check afternoon district",v2_new,"direct rain afternoon district"
v2_0407,"Tối nay ở huyện Đan Phượng trời thế nào?",hourly_forecast,"Dự báo theo giờ",district,"Huyện Đan Phượng","tối nay","general",easy,"[""get_hourly_forecast"", ""get_rain_timeline"", ""get_sunny_periods"", ""get_daily_rhythm""]",False,False,"[""temp"", ""weather""]","#4 hourly (tối nay slot today)","Direct evening district",v2_new,"direct evening huyện"
v2_0408,"Trong 6 giờ tới ở phường Bồ Đề có cơn mưa nào sẽ tạnh trước hay sau lúc tan tầm?",hourly_forecast,"Dự báo theo giờ",ward,"Phường Bồ Đề (Long Biên)","6 giờ tới","rain_break",hard,"[""get_hourly_forecast"", ""get_rain_timeline"", ""get_sunny_periods"", ""get_daily_rhythm""]",False,False,"[""pop"", ""rain.1h""]","#4 hourly + actionable","6h rain stop relative to rush hour ~17-18h",v2_new,"rain stop vs rush hour"
v2_0409,"Sáng mai từ 5h đến 8h ở phường Tây Mỗ thời tiết và độ ẩm có biến động đột ngột nào không?",hourly_forecast,"Dự báo theo giờ",ward,"Phường Tây Mỗ (Nam Từ Liêm)","05:00-08:00 sáng mai","general",hard,"[""get_hourly_forecast"", ""get_rain_timeline"", ""get_sunny_periods"", ""get_daily_rhythm""]",False,False,"[""temp"", ""humidity"", ""weather""]","#4 hourly + multi-aspect anomaly","Specific 3h dawn slot + multi-aspect anomaly",v2_new,"dawn slot anomaly check"
v2_0410,"Trong 7 ngày tới ở quận Long Biên ngày nào dự báo có mưa kéo dài cả ngày, kèm tổng lượng mưa?",daily_forecast,"Dự báo theo ngày",district,"Quận Long Biên","7 ngày tới","rain",hard,"[""get_daily_forecast"", ""get_weather_period"", ""get_temperature_trend"", ""get_daily_summary"", ""get_rain_timeline"", ""get_hourly_forecast"", ""get_weather_history""]",False,False,"[""pop"", ""rain.1d""]","#4 daily + identify rainy day + magnitude","7-day + identify all-day rain + total mm",v2_new,"all-day rain identification"
v2_0411,"Cuối tuần và đầu tuần sau ở quận Cầu Giấy thời tiết có chuyển biến rõ rệt không, có ngày nào đáng lưu ý?",daily_forecast,"Dự báo theo ngày",district,"Quận Cầu Giấy","cuối tuần + đầu tuần sau","general",hard,"[""get_daily_forecast"", ""get_weather_period"", ""get_temperature_trend"", ""get_daily_summary"", ""get_rain_timeline"", ""get_hourly_forecast"", ""get_weather_history""]",False,False,"[""temp"", ""weather"", ""pop""]","#4 daily multi-day + transition","Weekend → next-week transition + identify notable day",v2_new,"cross-week transition"
v2_0412,"Trong 4 ngày tới ở phường Ngọc Hà thời tiết thế nào?",daily_forecast,"Dự báo theo ngày",ward,"Phường Ngọc Hà (Ba Đình)","4 ngày tới","general",medium,"[""get_daily_forecast"", ""get_weather_period"", ""get_temperature_trend"", ""get_daily_summary"", ""get_rain_timeline"", ""get_hourly_forecast"", ""get_weather_history""]",False,False,"[""temp"", ""weather"", ""pop""]","#4 daily (4 ngày tới)","4-day forecast ward",v2_new,"4-day ward"
v2_0413,"Cuối tuần ở xã Mê Linh có mưa không, nhiệt độ tầm bao nhiêu?",daily_forecast,"Dự báo theo ngày",ward,"Xã Mê Linh (Mê Linh)","cuối tuần","general",medium,"[""get_daily_forecast"", ""get_weather_period"", ""get_temperature_trend"", ""get_daily_summary"", ""get_rain_timeline"", ""get_hourly_forecast"", ""get_weather_history""]",False,False,"[""temp"", ""pop""]","#4 daily (cuối tuần)","Weekend xã + dual aspect",v2_new,"weekend xã dual"
v2_0414,"Tóm tắt thời tiết hôm nay ở quận Ba Đình giúp mình.",weather_overview,"Tổng quan thời tiết",district,"Quận Ba Đình","hôm nay","general",easy,"[""get_daily_summary"", ""detect_phenomena"", ""get_daily_rhythm"", ""get_current_weather"", ""get_daily_forecast"", ""get_weather_period"", ""get_hourly_forecast""]",False,False,"[""temp.day"", ""weather"", ""humidity""]","#3 weather_overview","Direct overview district today",v2_new,"direct overview district"
v2_0415,"Cho mình tổng quan thời tiết hôm nay ở huyện Hoài Đức.",weather_overview,"Tổng quan thời tiết",district,"Huyện Hoài Đức","hôm nay","general",easy,"[""get_daily_summary"", ""detect_phenomena"", ""get_daily_rhythm"", ""get_current_weather"", ""get_daily_forecast"", ""get_weather_period"", ""get_hourly_forecast""]",False,False,"[""temp.day"", ""weather""]","#3 weather_overview","Direct overview huyện today",v2_new,"direct overview huyện"
v2_0416,"Tổng kết thời tiết 7 ngày tới ở quận Tây Hồ với điểm nhấn về ngày khắc nghiệt và lý do.",weather_overview,"Tổng quan thời tiết",district,"Quận Tây Hồ","7 ngày tới","general",hard,"[""get_daily_summary"", ""detect_phenomena"", ""get_daily_rhythm"", ""get_current_weather"", ""get_daily_forecast"", ""get_weather_period"", ""get_hourly_forecast""]",False,False,"[""temp"", ""weather"", ""pop""]","#3 weather_overview + extreme","7-day district overview + extreme + reason",v2_new,"7-day district extreme"
v2_0417,"Bạn cho mình bản đánh giá tổng thể thời tiết tuần này ở huyện Sóc Sơn so với hôm qua.",weather_overview,"Tổng quan thời tiết",district,"Huyện Sóc Sơn","tuần này vs hôm qua","general",hard,"[""get_daily_summary"", ""detect_phenomena"", ""get_daily_rhythm"", ""get_current_weather"", ""get_daily_forecast"", ""get_weather_period"", ""get_hourly_forecast""]",False,False,"[""temp"", ""weather"", ""pop""]","#3 weather_overview + cross-day compare","Weekly overview + compare with yesterday",v2_new,"weekly + cross-day compare"
v2_0418,"Tối nay ở quận Hoàng Mai gió có mạnh không, hướng từ đâu?",wind_query,"Truy vấn gió",district,"Quận Hoàng Mai","tối nay","wind",medium,"[""get_current_weather"", ""get_hourly_forecast"", ""get_pressure_trend"", ""get_weather_alerts"", ""get_daily_forecast""]",False,False,"[""wind_speed"", ""wind_deg""]","wind 2-aspect district","Wind speed + direction evening district",v2_new,"evening wind district"
v2_0419,"Sáng mai ở huyện Gia Lâm dự báo gió thế nào, có giật bất thường nào không?",wind_query,"Truy vấn gió",district,"Huyện Gia Lâm","sáng mai","wind",medium,"[""get_current_weather"", ""get_hourly_forecast"", ""get_pressure_trend"", ""get_weather_alerts"", ""get_daily_forecast""]",False,False,"[""wind_speed"", ""wind_gust""]","wind morning + gust","Morning wind district + gust check",v2_new,"morning wind huyện"
v2_0420,"Tối nay ở phường Tùng Thiện gió có mạnh không, hướng chủ yếu là gì?",wind_query,"Truy vấn gió",ward,"Phường Tùng Thiện (Sơn Tây)","tối nay","wind",medium,"[""get_current_weather"", ""get_hourly_forecast"", ""get_pressure_trend"", ""get_weather_alerts"", ""get_daily_forecast""]",False,False,"[""wind_speed"", ""wind_deg""]","wind 2-aspect ward","Wind speed + direction evening ward",v2_new,"evening wind ward"
