split,line,query,confidence,scope,category,suggested_intent,reason
train,15,ban co the giup toi khong?,0.95,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: ban co the giup
train,47,Đi Hồ Linh Đàm hôm nay có cần mang theo ô không ta?,0.9,district,relabel_activity,activity_weather,Activity pattern: mang theo ô
train,54,Có nên mang áo khoác không?,0.91,city,relabel_activity,activity_weather,Activity pattern: mang áo khoác
train,82,Hôm nay ra Hồ Tây có cần mang theo ô không nhỉ?,0.95,district,relabel_activity,activity_weather,Activity pattern: mang theo ô
train,137,Cầu Giấy hôm nay có nên mặc đồ nhẹ không nhỉ?,0.93,district,relabel_activity,activity_weather,Activity pattern: nên mặc
train,201,"Ở Nội Bài bữa nay có trời mưa, có nên thủ sẵn ô không?",0.94,ward,relabel_activity,activity_weather,Activity pattern: thủ sẵn ô
train,221,ban co the giup toi khong?,0.95,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: ban co the giup
train,224,"Ngoài trời lạnh quá, có nên mặc áo phao không?",0.9,city,relabel_activity,activity_weather,Activity pattern: nên mặc
train,266,Bữa nay ở Đại Xuyên có cần mang theo ô không nhỉ?,0.96,ward,relabel_activity,activity_weather,Activity pattern: mang theo ô
train,268,Ở Thiên Lộc hôm nay có nên đem ô theo không?,0.95,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,273,hom nay ra ho tay co can mang theo o khong nhi?,0.9,district,relabel_activity,activity_weather,Activity pattern: mang theo o
train,329,Phường Quảng Oai trời đẹp quá nhỉ?,0.9,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,336,Trời hôm nay có buồn không nhỉ?,0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: có buồn không
train,443,Bữa nay trời ở Đan Phượng có trong xanh không?,0.96,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,465,Hải Phòng hôm nay có mưa không?,0.9,city,remove_oos,REMOVE,Non-Hanoi location: Hải Phòng
train,476,"bua nay o lang bac co nang khong, co can chuan bi ao khoac khong?",0.93,district,relabel_activity,activity_weather,Activity pattern: ao khoac khong
train,485,Thời tiết TP.HCM hôm nay thế nào?,0.95,city,remove_oos,REMOVE,Non-Hanoi location: TP.HCM
train,501,co nen mang ao khoac khong?,0.91,city,relabel_activity,activity_weather,Activity pattern: mang ao khoac
train,542,Thời tiết ở Đà Nẵng hôm nay thế nào?,0.9,city,remove_oos,REMOVE,Non-Hanoi location: Đà Nẵng
train,549,Hôm nay trời đẹp nhỉ?,0.9,city,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,555,Phường Chương Mỹ mùa này thế nào nhỉ?,0.91,ward,relabel_seasonal,seasonal_context,Seasonal pattern: mùa này
train,557,Cầu Giấy hôm nay có nên mặc đồ nhẹ không nhỉ?,0.93,district,relabel_activity,activity_weather,Activity pattern: nên mặc
train,597,Ở Nam Từ Liêm hôm nay thì chọn trang phục gì cho thích hợp nhỉ?,0.94,district,relabel_activity,activity_weather,Activity pattern: trang phục
train,614,Hôm nay đến Royal City có cần phải chuẩn bị ô không nhỉ?,0.97,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,638,Trời ở Ứng Hòa hôm nay đẹp không?,0.94,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,675,"Hôm nay đi Hồ Tây thì có cần ô không, bạn nghĩ sao?",0.92,district,relabel_activity,activity_weather,Activity pattern: cần ô
train,682,co nen mang ao khoac khong?,0.91,city,relabel_activity,activity_weather,Activity pattern: mang ao khoac
train,765,co nen mang ao khoac khong?,0.91,city,relabel_activity,activity_weather,Activity pattern: mang ao khoac
train,801,Hải Phòng hôm nay có mưa không?,0.9,city,remove_oos,REMOVE,Non-Hanoi location: Hải Phòng
train,806,Trời ở Đan Phượng hôm nay đẹp không?,0.9,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,867,bua nay o lang bac thi nen chon do nhu the nao cho hop ly?,0.94,district,relabel_activity,activity_weather,Activity pattern: chon do
train,927,So sánh thời tiết Hà Nội và Đà Nẵng,0.9,city,remove_oos,REMOVE,Non-Hanoi location: Đà Nẵng
train,934,Hôm nay trời đẹp nhỉ?,0.9,city,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,987,nen mac ao mong hay day hom nay?,0.9,city,relabel_activity,activity_weather,Activity pattern: nen mac
train,1043,di qua cau long bien hom nay co can phong mua khong ta?,0.97,district,relabel_activity,activity_weather,Activity pattern: can phong mua
train,1085,Ở Hoài Đức hôm nay có cần đem theo ô không ta?,0.9,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1091,Ở Mỹ Đình hôm nay thì chọn trang phục gì cho thích hợp nhỉ?,0.9,district,relabel_activity,activity_weather,Activity pattern: trang phục
train,1115,Hôm nay ở Đại Xuyên có cần mang theo ô không ta?,0.93,ward,relabel_activity,activity_weather,Activity pattern: mang theo ô
train,1126,Thời tiết ở Thiên Lộc hôm nay có cần ô không hả?,0.9,ward,relabel_activity,activity_weather,Activity pattern: cần ô
train,1168,Thời tiết chỗ đó ra sao nhỉ?,0.97,ward,flag_anaphora,smalltalk_weather (ambiguous),Anaphoric reference: chỗ đó
train,1196,Hôm nay ổn k ta?,0.9,city,keep_smalltalk,smalltalk_weather,Genuine smalltalk: hôm nay ổn k
train,1199,Hôm nay ghé Chùa Trấn Quốc thì nên ăn mặc như thế nào cho phù hợp?,0.9,district,relabel_activity,activity_weather,Activity pattern: ăn mặc
train,1215,Ở phường Định Công hôm nay dễ chịu ghê!,0.9,ward,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1216,Phường Chương Mỹ mùa này thế nào nhỉ?,0.91,ward,relabel_seasonal,seasonal_context,Seasonal pattern: mùa này
train,1261,Trời ở Mê Linh hôm nay đẹp không?,0.9,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1298,o phuong tay phuong hom nay de chiu ghe!,0.9,ward,relabel_current,current_weather,Weather assessment: de chiu ghe
train,1330,Trời ở Thạch Thất hôm nay đẹp không?,0.96,district,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1338,Đi ra Thạch Thất hôm nay nên chọn đồ gì cho thoải mái?,0.9,district,relabel_activity,activity_weather,Activity pattern: chọn đồ
train,1355,Áo khoác có cần không?,0.91,city,keep_smalltalk,smalltalk_weather,"No specific pattern matched, default smalltalk"
train,1373,Hải Phòng hôm nay có mưa không?,0.9,city,remove_oos,REMOVE,Non-Hanoi location: Hải Phòng
