model,query,has_context,gt_intent,gt_scope,pred_raw,pred_intent,pred_scope,route_ok,latency_ms
Qwen2.5-0.5B,Chiều mai ở Times City dự báo có mưa không nhỉ?,False,daily_forecast,district,"{""intent"": ""rain_query"", ""scope"": ""district"", ""confidence"": 0.9}",rain_query,district,False,627.2
Qwen2.5-0.5B,"Hôm nay thời tiết ở Yên Lãng, Mê Linh có gì đặc biệt vào buổi tối không?",False,weather_overview,ward,"{""intent"": ""weather_alert"", ""scope"": ""ward"", ""confidence"": 0.85}",weather_alert,ward,False,658.2
Qwen2.5-0.5B,Quận nào ẩm nhất?,True,location_comparison,city,"{""intent"": ""location_comparison"", ""scope"": ""district"", ""confidence"": 0.96, ""rewritten_query"": ""Hôm nay quận nào ở Hà Nội có độ ẩm cao nhất?""}",location_comparison,district,False,1320.9
Qwen2.5-0.5B,Dự báo thời tiết ở phường Phú Lương tuần này?,False,daily_forecast,ward,"{""intent"": ""daily_forecast"", ""scope"": ""ward"", ""confidence"": 0.9}",daily_forecast,ward,True,641.9
Qwen2.5-0.5B,Tóm tắt tình hình thời tiết ở Sóc Sơn trong 5 ngày tới.,False,weather_overview,district,"{""intent"": ""daily_forecast"", ""scope"": ""district"", ""confidence"": 0.9}",daily_forecast,district,False,673.1
Qwen2.5-0.5B,Ở phường Phú Lương hôm nay dễ chịu ghê!,False,smalltalk_weather,ward,"{""intent"": ""smalltalk_weather"", ""scope"": ""ward"", ""confidence"": 0.9}",smalltalk_weather,ward,True,661.1
Qwen2.5-0.5B,Gió mạnh cỡ nào?,True,weather_alert,district,"{""intent"": ""weather_alert"", ""scope"": ""district"", ""confidence"": 0.87, ""rewritten_query"": ""Gió giông ở huyện Gia Lâm mạnh đến mức nào?""}",weather_alert,district,True,1220.0
Qwen2.5-0.5B,Hà Nội chiều nay có mưa không?,False,rain_query,city,"{""intent"": ""rain_query"", ""scope"": ""city"", ""confidence"": 0.9}",rain_query,city,True,604.1
Qwen2.5-0.5B,Tuần tới ở Hà Nội có nguy cơ mưa giông kèm lốc xoáy không?,False,weather_alert,city,"{""intent"": ""weather_alert"", ""scope"": ""city"", ""confidence"": 0.86}",weather_alert,city,True,638.4
Qwen2.5-0.5B,hom nay di choi duoc khong?,False,activity_weather,city,"{""intent"": ""activity_weather"", ""scope"": ""city"", ""confidence"": 0.9}",activity_weather,city,True,607.1
Qwen2.5-0.5B,Đi ra ngoài có ổn không?,True,activity_weather,city,"{""intent"": ""activity_weather"", ""scope"": ""city"", ""confidence"": 0.88, ""rewritten_query"": ""Hôm nay Hà Nội có thể đi ra ngoài không?""}",activity_weather,city,True,1170.7
Qwen2.5-0.5B,Có mấy độ ẩm ở đây?,True,humidity_fog_query,district,"{""intent"": ""humidity_fog_query"", ""scope"": ""district"", ""confidence"": 0.87, ""rewritten_query"": ""Độ ẩm ở quận Nam Từ Liêm hôm nay ra sao?""}",humidity_fog_query,district,True,1357.3
Qwen2.5-0.5B,Dự báo thời tiết Hà Nội theo giờ cho buổi sáng như thế nào?,False,hourly_forecast,city,"{""intent"": ""hourly_forecast"", ""scope"": ""city"", ""confidence"": 0.87}",hourly_forecast,city,True,693.3
Qwen2.5-0.5B,Hôm nay thời tiết ở Mê Linh thế nào nhỉ?,False,smalltalk_weather,district,"{""intent"": ""smalltalk_weather"", ""scope"": ""district"", ""confidence"": 0.9}",smalltalk_weather,district,True,633.6
Qwen2.5-0.5B,Gia Lâm sáng mai gió như thế nào?,True,wind_query,district,"{""intent"": ""wind_query"", ""scope"": ""district"", ""confidence"": 0.88}",wind_query,district,True,638.4
Qwen2.5-0.5B,"Trưa nay có nên đi dạo một chút ở Vĩnh Thanh, Đông Anh không?",False,activity_weather,ward,"{""intent"": ""activity_weather"", ""scope"": ""ward"", ""confidence"": 0.9}",activity_weather,ward,True,603.6
Qwen2.5-0.5B,Cường độ UV như thế nào?,True,expert_weather_param,ward,"{""intent"": ""expert_weather_param"", ""scope"": ""ward"", ""confidence"": 0.89, ""rewritten_query"": ""UV ở phường Cường độ bao nhiêu?""}",expert_weather_param,ward,True,1132.5
Qwen2.5-0.5B,Đêm nay có sương mù không bạn?,False,humidity_fog_query,city,"{""intent"": ""humidity_fog_query"", ""scope"": ""city"", ""confidence"": 0.89}",humidity_fog_query,city,True,705.1
Qwen2.5-0.5B,Thời tiết Sóc Sơn mấy ngày qua có thay đổi gì không?,False,seasonal_context,district,"{""intent"": ""historical_weather"", ""scope"": ""district"", ""confidence"": 0.9}",historical_weather,district,False,645.1
Qwen2.5-0.5B,So sánh thời tiết Ba Đình và Cầu Giấy?,False,location_comparison,district,"{""intent"": ""location_comparison"", ""scope"": ""district"", ""confidence"": 0.9}",location_comparison,district,True,625.4
Qwen2.5-0.5B,Tốc độ gió ở khu vực Hồ Gươm bao nhiêu?,False,wind_query,district,"{""intent"": ""wind_query"", ""scope"": ""district"", ""confidence"": 0.9}",wind_query,district,True,608.4
Qwen2.5-0.5B,Khu vực Bệnh viện Bạch Mai trưa nay có an toàn không?,False,weather_alert,district,"{""intent"": ""weather_alert"", ""scope"": ""district"", ""confidence"": 0.85}",weather_alert,district,True,634.8
Qwen2.5-0.5B,Ở Sân bay Nội Bài buổi chiều có mưa không?,False,rain_query,district,"{""intent"": ""rain_query"", ""scope"": ""district"", ""confidence"": 0.9}",rain_query,district,True,615.5
Qwen2.5-0.5B,o ho hoan kiem hom nay mac gi cho phu hop?,False,activity_weather,district,"{""intent"": ""smalltalk_weather"", ""scope"": ""district"", ""confidence"": 0.9}",smalltalk_weather,district,False,636.8
Qwen2.5-0.5B,Có giông không?,True,weather_alert,district,"{""intent"": ""weather_alert"", ""scope"": ""district"", ""confidence"": 0.87, ""rewritten_query"": ""Huyện Gia Lâm hôm nay có giông không?""}",weather_alert,district,True,1192.9
