model,query,has_context,gt_intent,gt_scope,pred_raw,pred_intent,pred_scope,route_ok,latency_ms
Qwen2.5-0.5B,Chiều mai ở Times City dự báo có mưa không nhỉ?,False,daily_forecast,district,"{""intent"": ""daily_forecast"", ""scope"": ""district"", ""confidence"": 0.9}",daily_forecast,district,True,1697.3
Qwen2.5-0.5B,"Hôm nay thời tiết ở Yên Lãng, Mê Linh có gì đặc biệt vào buổi tối không?",False,weather_overview,ward,"{""intent"": ""weather_overview"", ""scope"": ""ward"", ""confidence"": 0.9}",weather_overview,ward,True,695.0
Qwen2.5-0.5B,Quận nào ẩm nhất?,True,location_comparison,city,"{""intent"": ""location_comparison"", ""scope"": ""city"", ""confidence"": 0.96, ""rewritten_query"": ""Hà Nội hôm nay quận nào ẩm nhất?""}",location_comparison,city,True,1206.3
Qwen2.5-0.5B,Dự báo thời tiết ở phường Phú Lương tuần này?,False,daily_forecast,ward,"{""intent"": ""daily_forecast"", ""scope"": ""ward"", ""confidence"": 0.9}",daily_forecast,ward,True,647.2
Qwen2.5-0.5B,Tóm tắt tình hình thời tiết ở Sóc Sơn trong 5 ngày tới.,False,weather_overview,district,"{""intent"": ""daily_forecast"", ""scope"": ""district"", ""confidence"": 0.9}",daily_forecast,district,False,644.6
Qwen2.5-0.5B,Ở phường Phú Lương hôm nay dễ chịu ghê!,False,smalltalk_weather,ward,"{""intent"": ""smalltalk_weather"", ""scope"": ""ward"", ""confidence"": 0.9}",smalltalk_weather,ward,True,648.2
Qwen2.5-0.5B,Gió mạnh cỡ nào?,True,weather_alert,district,"{""intent"": ""weather_alert"", ""scope"": ""district"", ""confidence"": 0.91, ""rewritten_query"": ""Gió giông ở huyện Gia Lâm mạnh đến mức nào?""}",weather_alert,district,True,1236.9
Qwen2.5-0.5B,Hà Nội chiều nay có mưa không?,False,rain_query,city,"{""intent"": ""rain_query"", ""scope"": ""city"", ""confidence"": 0.9}",rain_query,city,True,621.4
Qwen2.5-0.5B,Tuần tới ở Hà Nội có nguy cơ mưa giông kèm lốc xoáy không?,False,weather_alert,city,"{""intent"": ""weather_alert"", ""scope"": ""city"", ""confidence"": 0.9}",weather_alert,city,True,613.9
Qwen2.5-0.5B,hom nay di choi duoc khong?,False,activity_weather,city,"{""intent"": ""activity_weather"", ""scope"": ""city"", ""confidence"": 0.9}",activity_weather,city,True,620.0
