id,question,expected_intent,router_intent,intent_match,expected_scope,router_scope,scope_match,router_path,router_conf,fallback_reason,tools_called,expected_tools,tool_recall,location_in_args,all_pass,difficulty,notes
1,Bây giờ thời tiết ở Hà Nội như thế nào?,current_weather,current_weather,True,city,city,True,routed,0.9,,get_current_weather,"get_current_weather,detect_phenomena,get_clothing_advice",True,True,True,easy,"Câu hỏi chung, phổ biến nhất"
2,Hiện tại ở quận Cầu Giấy thời tiết ra sao?,current_weather,current_weather,True,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,detect_phenomena,get_clothing_advice",True,True,True,easy,
3,Thời tiết ở phường Cầu Giấy lúc này có mưa không?,current_weather,rain_query,False,ward,ward,True,routed,0.9,,get_rain_timeline,"get_current_weather,detect_phenomena,get_clothing_advice",False,True,False,easy,
4,Ngoài trời ở Hoàn Kiếm giờ nhiệt độ bao nhiêu độ?,current_weather,temperature_query,False,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,detect_phenomena,get_clothing_advice",True,True,False,easy,
5,"Ở phường Phú Diễn, Bắc Từ Liêm hiện có nhiều mây không?",current_weather,current_weather,True,ward,ward,True,routed,0.9,,get_current_weather,"get_current_weather,detect_phenomena,get_clothing_advice",True,True,True,easy,
6,Gió ở quận Long Biên hiện tại mạnh không?,current_weather,wind_query,False,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,detect_phenomena,get_clothing_advice",True,True,False,easy,
7,Trời Hà Nội lúc này có nắng không?,current_weather,current_weather,True,city,city,True,routed,0.9,,get_current_weather,"get_current_weather,detect_phenomena,get_clothing_advice",True,True,True,easy,
8,Độ ẩm hiện tại ở quận Hoàng Mai bao nhiêu?,current_weather,humidity_fog_query,False,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,detect_phenomena,get_clothing_advice",True,True,False,easy,
9,Cho mình biết thời tiết hiện tại ở khu vực Mỹ Đình với.,current_weather,current_weather,True,poi,district,False,routed,0.9,,get_current_weather,"get_current_weather,detect_phenomena,get_clothing_advice",True,True,False,easy,
10,Bầu trời ở khu vực Hồ Gươm bây giờ trông như thế nào?,current_weather,weather_overview,False,poi,district,False,routed,0.9,,get_daily_summary,"get_current_weather,detect_phenomena,get_clothing_advice",False,True,False,easy,
11,Nhiệt độ cảm giác ngoài trời ở Thanh Xuân lúc này là bao nhiêu?,current_weather,temperature_query,False,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,detect_phenomena,get_clothing_advice",True,True,False,easy,
