conversation_id,pattern,difficulty,num_turns,conversation_success,context_retention_rate,turn_tool_accuracy,era
conv_001,location_carry_over,easy,3,True,3,100.0,100.0
conv_002,location_carry_over,easy,3,True,3,100.0,100.0
conv_003,location_carry_over,medium,3,True,3,100.0,100.0
conv_004,location_carry_over,medium,3,True,3,100.0,0.0
conv_005,location_carry_over,hard,3,True,3,100.0,100.0
conv_006,location_carry_over,medium,3,False,2,66.7,50.0
conv_007,location_carry_over,medium,4,False,1,75.0,100.0
conv_008,time_shift,easy,3,False,1,66.7,100.0
conv_009,time_shift,easy,3,True,3,100.0,100.0
conv_010,time_shift,medium,3,True,3,100.0,100.0
conv_011,time_shift,medium,3,True,3,100.0,100.0
conv_012,time_shift,medium,3,True,3,100.0,100.0
conv_013,time_shift,hard,3,True,3,100.0,100.0
conv_014,time_shift,medium,3,True,3,100.0,100.0
conv_015,topic_drilldown,easy,3,True,3,100.0,0.0
conv_016,topic_drilldown,medium,3,True,3,100.0,100.0
conv_017,topic_drilldown,medium,3,True,3,100.0,100.0
conv_018,topic_drilldown,hard,3,True,3,100.0,100.0
conv_019,topic_drilldown,medium,3,False,0,33.3,100.0
conv_020,topic_drilldown,hard,3,True,3,100.0,100.0
conv_021,topic_drilldown,medium,3,True,3,100.0,100.0
conv_022,location_switch,medium,3,True,3,100.0,100.0
conv_023,location_switch,medium,3,True,3,100.0,100.0
conv_024,location_switch,medium,3,True,3,100.0,
conv_025,location_switch,hard,3,True,3,100.0,100.0
conv_026,location_switch,hard,3,True,3,100.0,100.0
conv_027,location_switch,medium,3,True,3,100.0,100.0
conv_028,location_switch,medium,3,True,3,100.0,
conv_029,anaphora_chain,medium,3,True,3,100.0,100.0
conv_030,anaphora_chain,hard,3,True,3,100.0,100.0
conv_031,anaphora_chain,hard,3,True,3,100.0,100.0
conv_032,anaphora_chain,medium,3,True,3,100.0,100.0
conv_033,anaphora_chain,hard,3,True,3,100.0,100.0
conv_034,anaphora_chain,hard,3,True,3,100.0,100.0
conv_035,anaphora_chain,hard,3,True,3,100.0,100.0
conv_036,mixed_intent,easy,3,True,3,100.0,0.0
conv_037,mixed_intent,medium,3,True,3,100.0,100.0
conv_038,mixed_intent,medium,3,True,3,100.0,100.0
conv_039,mixed_intent,hard,3,True,3,100.0,0.0
conv_040,mixed_intent,hard,4,True,4,100.0,0.0
conv_041,mixed_intent,medium,3,True,3,100.0,100.0
conv_042,mixed_intent,medium,3,True,3,100.0,100.0
conv_043,location_carry_over,medium,3,True,3,100.0,100.0
conv_044,location_carry_over,medium,3,True,3,100.0,100.0
conv_045,location_carry_over,hard,4,True,4,100.0,100.0
conv_046,location_carry_over,hard,3,True,3,100.0,50.0
conv_047,location_carry_over,easy,3,True,3,100.0,100.0
conv_048,time_shift,medium,3,True,3,100.0,100.0
conv_049,time_shift,hard,4,False,0,75.0,100.0
conv_050,time_shift,medium,3,True,3,100.0,50.0
conv_051,topic_drilldown,hard,3,True,3,100.0,100.0
conv_052,topic_drilldown,medium,3,False,2,66.7,100.0
conv_053,topic_drilldown,medium,4,True,4,100.0,66.7
conv_054,anaphora_chain,hard,4,True,4,100.0,100.0
conv_055,anaphora_chain,medium,3,True,3,100.0,100.0
conv_056,anaphora_chain,hard,4,True,4,100.0,100.0
conv_057,location_switch,hard,4,True,4,100.0,
conv_058,mixed_intent,hard,3,True,3,100.0,100.0
conv_059,mixed_intent,medium,3,True,3,100.0,100.0
conv_060,mixed_intent,hard,3,True,3,100.0,100.0
