model,query,has_history,turn,gt_intent,gt_scope,gt_conf,pred_raw,pred_intent,pred_scope,pred_conf,route_ok,latency_ms
Qwen3-4B-v7,Hà Nội hôm nay khác hôm qua thế nào?,False,1,seasonal_context,city,0.92,"{""intent"": ""seasonal_context"", ""scope"": ""city"", ""confidence"": 0.92}",seasonal_context,city,0.92,True,3091.0
Qwen3-4B-v7,Gió ở Thanh Liệt hiện tại mạnh không?,False,1,wind_query,ward,0.85,"{""intent"": ""wind_query"", ""scope"": ""ward"", ""confidence"": 0.85}",wind_query,ward,0.85,True,1991.1
Qwen3-4B-v7,Ngoài trời ở Hoàn Kiếm giờ nhiệt độ bao nhiêu độ?,False,1,temperature_query,district,0.74,"{""intent"": ""temperature_query"", ""scope"": ""district"", ""confidence"": 0.74}",temperature_query,district,0.74,True,1998.6
Qwen3-4B-v7,UV đạt đỉnh vào khoảng mấy giờ?,True,2,expert_weather_param,ward,0.8,"{""intent"": ""expert_weather_param"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""UV ở Phường Cầu Giấy hôm nay đạt đỉnh vào khoảng mấy giờ?""}",expert_weather_param,ward,0.8,True,4397.1
Qwen3-4B-v7,Thứ bảy ở Quận Long Biên trời thế nào?,False,1,daily_forecast,district,0.92,"{""intent"": ""daily_forecast"", ""scope"": ""district"", ""confidence"": 0.92}",daily_forecast,district,0.92,True,2090.5
Qwen3-4B-v7,khoảng mấy giờ?,True,2,rain_query,ward,0.74,"{""intent"": ""rain_query"", ""scope"": ""ward"", ""confidence"": 0.74, ""rewritten_query"": ""Phường Hoàng Mai mưa khoảng mấy giờ?""}",rain_query,ward,0.74,True,3637.9
Qwen3-4B-v7,Thanh Oai giờ này đang lạnh hay nóng nhiều?,False,1,temperature_query,ward,0.74,"{""intent"": ""temperature_query"", ""scope"": ""ward"", ""confidence"": 0.74, ""rewritten_query"": ""Xã Thanh Oai giờ này đang lạnh hay nóng nhiều?""}",temperature_query,ward,0.74,True,3824.0
Qwen3-4B-v7,hom nay di choi duoc khong?,False,1,activity_weather,city,0.85,"{""intent"": ""activity_weather"", ""scope"": ""city"", ""confidence"": 0.85}",activity_weather,city,0.85,True,2005.7
Qwen3-4B-v7,Thời tiết ở Nha Trang hôm nay ra sao?,False,1,smalltalk_weather,city,0.62,"{""intent"": ""smalltalk_weather"", ""scope"": ""city"", ""confidence"": 0.62}",smalltalk_weather,city,0.62,True,2099.8
Qwen3-4B-v7,Hôm nay khu đó ra sao?,True,2,weather_overview,ward,0.8,"{""intent"": ""current_weather"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Hôm nay Phường Hà Đông thời tiết thế nào?""}",current_weather,ward,0.8,False,3940.5
